Byte,Hop Count ,Source ,,Destination ,,Type ,TTL Type ,Next Hop ,,Distance ,Battery, Neighbour ,Address 1,,N-Battery,Address 1,,RSSI,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery
43,6,0,15,0,1,2,98,0,6,1,175,10,0,12,255,0,7,255,0,3,249,0,13,253,0,11,252,0,5,252,0,1,253,0,14,253,0,8,253,0,4,253,0,0,0
46,6,0,3,0,1,2,98,0,6,1,175,11,0,13,255,0,5,255,0,6,250,0,1,253,0,2,252,0,9,253,0,14,253,0,8,253,0,15,252,0,7,253,0,12,252
25,6,0,16,0,1,2,97,0,6,2,175,4,0,7,255,0,13,255,0,10,248,0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,0,9,0,1,2,97,0,6,2,175,8,0,14,255,0,8,255,0,7,250,0,12,253,0,3,252,0,13,252,0,6,253,0,2,252,0,0,0,0,0,0,0,0,0
46,6,0,8,0,1,2,98,0,6,1,172,11,0,15,255,0,7,255,0,12,250,0,3,253,0,13,252,0,1,253,0,2,253,0,9,253,0,14,252,0,6,253,0,5,253
43,6,0,12,0,1,2,98,0,6,1,172,10,0,3,255,0,13,255,0,1,249,0,9,252,0,14,253,0,8,252,0,15,252,0,7,252,0,6,252,0,5,253,0,0,0
43,6,0,1,0,1,2,100,0,6,0,255,10,0,14,255,0,8,255,0,4,249,0,15,252,0,7,253,0,3,253,0,11,253,0,13,252,0,5,253,0,12,252,0,0,0
19,6,0,10,0,1,2,96,0,6,3,173,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6,0,13,0,1,2,98,0,6,1,170,11,0,6,255,0,1,255,0,2,249,0,16,253,0,9,252,0,14,253,0,8,253,0,15,252,0,7,253,0,12,252,0,3,252
37,6,0,9,0,1,2,97,0,6,2,170,8,0,14,255,0,8,255,0,7,249,0,12,252,0,3,253,0,13,252,0,6,252,0,2,252,0,0,0,0,0,0,0,0,0
43,6,0,1,0,1,2,100,0,6,0,255,10,0,8,255,0,14,255,0,4,248,0,15,252,0,7,252,0,3,253,0,13,252,0,5,253,0,11,253,0,12,253,0,0,0
19,6,0,10,0,1,2,96,0,6,3,170,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,0,4,0,1,2,98,0,6,1,167,4,0,15,255,0,11,255,0,5,249,0,1,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,0,2,0,1,2,97,0,6,2,167,9,0,16,255,0,9,255,0,14,249,0,8,252,0,7,252,0,3,253,0,13,252,0,6,252,0,10,252,0,0,0,0,0,0
25,6,0,16,0,1,2,97,0,6,2,167,4,0,7,255,0,13,255,0,10,250,0,2,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,0,9,0,1,2,97,0,6,2,167,8,0,14,255,0,8,255,0,7,250,0,3,252,0,12,252,0,13,253,0,6,253,0,2,252,0,0,0,0,0,0,0,0,0
43,6,0,15,0,1,2,98,0,6,1,165,10,0,7,255,0,11,255,0,1,248,0,14,252,0,8,252,0,4,253,0,3,252,0,13,253,0,5,253,0,12,253,0,0,0
46,6,0,3,0,1,2,98,0,6,1,165,11,0,6,255,0,1,255,0,2,250,0,9,252,0,14,252,0,8,253,0,7,253,0,15,252,0,13,253,0,5,253,0,12,253
34,6,0,5,0,1,2,98,0,6,1,165,7,0,1,255,0,14,255,0,8,248,0,4,252,0,15,252,0,3,252,0,12,252,0,0,0,0,0,0,0,0,0,0,0,0
40,7,0,2,0,1,2,97,0,7,2,165,9,0,16,255,0,9,255,0,14,249,0,8,252,0,7,253,0,3,253,0,13,253,0,6,252,0,10,253,0,0,0,0,0,0
25,7,0,16,0,1,2,97,0,7,2,165,4,0,7,255,0,13,255,0,10,249,0,2,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7,0,1,0,1,2,100,0,7,0,255,9,0,14,255,0,8,255,0,4,249,0,7,253,0,15,253,0,3,252,0,5,253,0,12,253,0,13,252,0,0,0,0,0,0
43,7,0,12,0,1,2,98,0,7,1,162,10,0,6,255,0,1,255,0,9,249,0,14,253,0,8,253,0,7,253,0,15,253,0,13,252,0,3,253,0,5,253,0,0,0
19,7,0,10,0,1,2,96,0,7,3,162,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,0,14,0,1,2,98,0,7,1,159,11,0,8,255,0,7,255,0,15,250,0,13,253,0,5,253,0,3,253,0,12,253,0,6,252,0,1,252,0,2,252,0,9,253
46,7,0,7,0,1,2,98,0,7,1,159,11,0,15,255,0,13,255,0,3,250,0,12,252,0,6,253,0,1,252,0,2,253,0,16,252,0,9,253,0,14,253,0,8,252
43,7,0,15,0,1,2,98,0,7,1,160,10,0,13,255,0,11,255,0,5,249,0,3,252,0,12,252,0,1,253,0,14,252,0,4,253,0,8,252,0,7,252,0,0,0
25,7,0,16,0,1,2,97,0,7,2,160,4,0,7,255,0,13,255,0,10,250,0,2,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,0,1,0,1,2,100,0,7,0,255,10,0,14,255,0,4,255,0,8,249,0,7,253,0,15,253,0,13,253,0,3,252,0,11,252,0,5,252,0,12,253,0,0,0
43,7,0,12,0,1,2,98,0,7,1,157,10,0,6,255,0,1,255,0,9,249,0,14,253,0,8,252,0,7,253,0,15,253,0,13,252,0,3,252,0,5,253,0,0,0
40,7,0,2,0,1,2,97,0,7,2,157,9,0,16,255,0,9,255,0,14,250,0,8,252,0,7,252,0,13,253,0,3,253,0,6,253,0,10,253,0,0,0,0,0,0
46,7,0,7,0,1,2,98,0,7,1,154,11,0,15,255,0,13,255,0,3,249,0,12,252,0,6,252,0,1,253,0,2,253,0,16,253,0,9,253,0,14,252,0,8,253
22,7,0,11,0,1,2,98,0,7,1,155,3,0,1,255,0,4,255,0,15,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
